t_s,attack_time_s,sim_lat,sim_lon,pos_lat,pos_lon,pos_alt,e_vehicle_h_m,gps_present,gps_age_s,gps_status,gps_nsats,gps_hdop,gps_lat,gps_lon,gps_hacc,gps_vacc,gps_sacc,xkf_fs
0.0,-19.299777,35.9305139,-84.3106744,35.9305138,-84.3106742,0.03999999910593033,0.021187813353597616,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.09996,-19.199817,35.9305139,-84.3106744,35.9305138,-84.3106742,0.03999999910593033,0.021187813353597616,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.19992,-19.099857,35.9305139,-84.3106744,35.9305138,-84.3106742,0.03999999910593033,0.021187813353597616,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.29988,-18.999897,35.9305139,-84.3106744,35.9305138,-84.3106742,0.03999999910593033,0.021187813353597616,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.39984,-18.899937,35.9305139,-84.3106744,35.9305138,-84.3106742,0.03999999910593033,0.021187813353597616,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.4998,-18.799977,35.9305139,-84.3106744,35.9305138,-84.3106742,0.03999999910593033,0.021187813353597616,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.600593,-18.699184,35.9305139,-84.3106744,35.9305138,-84.3106742,0.03999999910593033,0.021187813353597616,1,0.040817,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.700553,-18.599224,35.9305139,-84.3106744,35.9305138,-84.3106742,0.03999999910593033,0.021187813353597616,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.800513,-18.499264,35.9305139,-84.3106744,35.9305138,-84.3106742,0.04999999701976776,0.021187813353597616,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.900473,-18.399304,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
1.000433,-18.299344,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
1.100393,-18.199384,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
1.200353,-18.099424,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
1.300313,-17.999464,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
1.400273,-17.899504,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
1.500233,-17.799544,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
1.600193,-17.699584,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
1.700153,-17.599624,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
1.800113,-17.499664,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
1.900073,-17.399704,35.9305139,-84.3106744,35.9305138,-84.3106743,0.05999999865889549,0.014323823417739025,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
2.000033,-17.299744,35.9305139,-84.3106744,35.9305138,-84.3106743,0.05999999865889549,0.014323823417739025,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
2.099993,-17.199784,35.9305139,-84.3106744,35.9305138,-84.3106743,0.05999999865889549,0.014323823417739025,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
2.199953,-17.099824,35.9305139,-84.3106744,35.9305138,-84.3106743,0.05999999865889549,0.014323823417739025,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
2.299913,-16.999864,35.9305139,-84.3106744,35.9305138,-84.3106743,0.05999999865889549,0.014323823417739025,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
2.399873,-16.899904,35.9305139,-84.3106744,35.9305138,-84.3106743,0.05999999865889549,0.014323823417739025,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
2.499833,-16.799944,35.9305139,-84.3106744,35.9305138,-84.3106743,0.05999999865889549,0.014323823417739025,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
2.599793,-16.699984,35.9305139,-84.3106744,35.9305138,-84.3106743,0.05999999865889549,0.014323823417739025,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
2.700586,-16.599191,35.9305139,-84.3106744,35.9305138,-84.3106743,0.05999999865889549,0.014323823417739025,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
2.800546,-16.499231,35.9305139,-84.3106744,35.9305139,-84.3106744,0.05999999865889549,0.0,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
2.900506,-16.399271,35.9305139,-84.3106744,35.9305139,-84.3106744,0.05999999865889549,0.0,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
3.000466,-16.299311,35.9305139,-84.3106744,35.9305139,-84.3106744,0.05999999865889549,0.0,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
3.100426,-16.199351,35.9305139,-84.3106744,35.9305139,-84.3106744,0.05999999865889549,0.0,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
3.200386,-16.099391,35.9305139,-84.3106744,35.9305139,-84.3106744,0.05999999865889549,0.0,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
3.300346,-15.999431,35.9305139,-84.3106744,35.9305139,-84.3106744,0.05999999865889549,0.0,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
3.400306,-15.899471,35.9305139,-84.3106744,35.9305139,-84.3106744,0.07000000029802322,0.0,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
3.500266,-15.799511,35.9305139,-84.3106744,35.9305139,-84.3106744,0.07999999821186066,0.0,1,0.079968,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
3.600226,-15.699551,35.9305139,-84.3106744,35.9305139,-84.3106744,0.09999999403953552,0.0,1,0.019992,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
3.700186,-15.599591,35.9305139,-84.3106744,35.9305139,-84.3106744,0.11999999731779099,0.0,1,0.079968,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
3.800146,-15.499631,35.9305139,-84.3106744,35.9305139,-84.3106744,0.14000000059604645,0.0,1,0.019992,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
