t_s,attack_time_s,sim_lat,sim_lon,pos_lat,pos_lon,pos_alt,e_vehicle_h_m,gps_present,gps_age_s,gps_status,gps_nsats,gps_hdop,gps_lat,gps_lon,gps_hacc,gps_vacc,gps_sacc,xkf_fs
0.0,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.139944,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
0.09996,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
0.19992,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
0.29988,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
0.39984,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
0.4998,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
0.59976,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
0.69972,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
0.79968,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
0.89964,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
0.9996,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
1.09956,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
1.19952,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
1.29948,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
1.39944,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
1.4994,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
1.59936,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
1.69932,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
1.79928,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
1.89924,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
1.9992,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
2.099993,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
2.199953,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
2.299913,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
2.399873,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
2.499833,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
2.599793,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
2.699753,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
2.799713,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
2.899673,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
2.999633,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
3.099593,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
3.199553,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
3.299513,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.07999999821186066,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
3.399473,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.08999999612569809,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
3.499433,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.09999999403953552,0.014323823417739025,1,0.039984,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
3.599393,nan,35.9305139,-84.3106744,35.9305138,-84.3106743,0.11999999731779099,0.014323823417739025,1,0.059976,6,10,1.21,35.9305139,-84.3106744,0.3,0.3,0.0,0
