t_s,attack_time_s,sim_lat,sim_lon,pos_lat,pos_lon,pos_alt,e_vehicle_h_m,gps_present,gps_age_s,gps_status,gps_nsats,gps_hdop,gps_lat,gps_lon,gps_hacc,gps_vacc,gps_sacc,xkf_fs
0.0,-17.379712,35.9305139,-84.3106744,35.9305138,-84.3106742,0.03999999910593033,0.021187813353597616,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.09996,-17.279752,35.9305139,-84.3106744,35.9305138,-84.3106742,0.03999999910593033,0.021187813353597616,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.19992,-17.179792,35.9305139,-84.3106744,35.9305138,-84.3106742,0.04999999701976776,0.021187813353597616,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.29988,-17.079832,35.9305139,-84.3106744,35.9305138,-84.3106742,0.04999999701976776,0.021187813353597616,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.39984,-16.979872,35.9305139,-84.3106744,35.9305138,-84.3106742,0.04999999701976776,0.021187813353597616,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.4998,-16.879912,35.9305139,-84.3106744,35.9305138,-84.3106742,0.04999999701976776,0.021187813353597616,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.59976,-16.779952,35.9305139,-84.3106744,35.9305138,-84.3106742,0.04999999701976776,0.021187813353597616,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.69972,-16.679992,35.9305139,-84.3106744,35.9305138,-84.3106742,0.04999999701976776,0.021187813353597616,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.79968,-16.580032,35.9305139,-84.3106744,35.9305138,-84.3106742,0.04999999701976776,0.021187813353597616,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.89964,-16.480072,35.9305139,-84.3106744,35.9305138,-84.3106742,0.04999999701976776,0.021187813353597616,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
0.9996,-16.380112,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.059976,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
1.09956,-16.280152,35.9305139,-84.3106744,35.9305138,-84.3106743,0.04999999701976776,0.014323823417739025,1,0.039984,3,12,1.0,35.9305139,-84.3106744,0.5,2.0,0.5,0
